icao_address,timestamp,latitude,longitude,altitude_baro,heading,vertical_rate,on_ground,callsign,tail_number,collection_type,flight_number,ingestion_time,speed,squawk,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,departure_estimated_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time,takeoff_time,landing_time,source
78121E,2021-03-20T12:00:08Z,31.100898,121.439685,12325.0,110.0,-1470.0,False,CQH6452,B-8700,terrestrial,9C6452,2021-03-20T12:00:09.753Z,350.0,6203,A320,Airbus A320-214,9C,Spring Airlines,+0800,ZLLL,LHW,2021-03-20T09:55:00Z,2021-03-20T09:55:00Z,+0800,ZSPD,PVG,2021-03-20T12:45:00Z,2021-03-20T12:16:00Z,,,
781463,2021-03-20T12:02:09Z,31.106689,121.411097,11375.0,103.31303,,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:02:10.970Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:02:20Z,31.102202,121.432434,10975.0,110.0,-1660.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:02:23.791Z,330.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
78121E,2021-03-20T12:00:32Z,31.091217,121.482562,11725.0,110.0,-1660.0,False,CQH6452,B-8700,terrestrial,9C6452,2021-03-20T12:00:33.991Z,340.0,6203,A320,Airbus A320-214,9C,Spring Airlines,+0800,ZLLL,LHW,2021-03-20T09:55:00Z,2021-03-20T09:55:00Z,+0800,ZSPD,PVG,2021-03-20T12:45:00Z,2021-03-20T12:16:00Z,,,
78121E,2021-03-20T12:00:35Z,31.089726,121.489124,11625.0,110.0,-1920.0,False,CQH6452,B-8700,terrestrial,9C6452,2021-03-20T12:00:38.142Z,340.0,6203,A320,Airbus A320-214,9C,Spring Airlines,+0800,ZLLL,LHW,2021-03-20T09:55:00Z,2021-03-20T09:55:00Z,+0800,ZSPD,PVG,2021-03-20T12:45:00Z,2021-03-20T12:16:00Z,,,
781463,2021-03-20T12:02:41Z,31.094238,121.468075,10325.0,110.0,-2040.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:02:43.891Z,320.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:00:29Z,31.182411,121.258356,13800.0,140.0,,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:00:31.477Z,340.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
780FBD,2021-03-20T12:02:26Z,31.197774,121.236713,13800.0,140.0,30.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:02:28.318Z,340.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:02:34Z,31.188583,121.249695,13800.0,140.0,-30.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:02:37.216Z,340.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
781463,2021-03-20T12:00:05Z,31.207169,121.223414,13800.0,140.0,0.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:00:07.262Z,350.0,0552,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
780FBD,2021-03-20T12:01:57Z,31.228592,121.193255,13800.0,140.0,-30.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:01:59.578Z,340.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:01:44Z,31.240814,121.176022,13800.0,140.0,-30.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:01:46.477Z,340.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780FBD,2021-03-20T12:01:47Z,31.237343,121.180902,13800.0,140.0,-60.0,False,CSH9418,B-7397,terrestrial,FM9418,2021-03-20T12:01:50.596Z,340.0,2137,B738,Boeing 737-89P,FM,Shanghai Airlines,+0800,ZSLG,LYG,2021-03-20T11:20:00Z,,+0800,ZSPD,PVG,2021-03-20T12:35:00Z,,,,
780019,2021-03-20T12:02:41Z,31.259595,121.189252,4775.0,240.0,-60.0,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:02:43.704Z,260.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,2021-03-20T11:59:31Z,,
780019,2021-03-20T12:01:37Z,31.261131,121.262476,4000.0,310.0,1600.0,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:01:39.807Z,200.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,2021-03-20T11:59:31Z,,
780019,2021-03-20T12:01:54Z,31.27034,121.244148,4575.0,300.0,1340.0,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:01:57.653Z,220.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,2021-03-20T11:59:31Z,,
780019,2021-03-20T12:02:18Z,31.274597,121.216197,4750.0,260.0,60.0,False,CCA1830,B-6092,terrestrial,CA1830,2021-03-20T12:02:21.723Z,230.0,6365,A332,Airbus A330-243,CA,Air China,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,,+0800,ZGGG,CAN,2021-03-20T14:25:00Z,,2021-03-20T11:59:31Z,,
780BE9,2021-03-20T12:00:08Z,31.199519,121.328366,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:00:09.670Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
780BE9,2021-03-20T12:00:14Z,31.199512,121.328376,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:00:16.275Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
780BE9,2021-03-20T12:00:20Z,31.199512,121.328376,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:00:22.737Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
781463,2021-03-20T12:01:18Z,31.134155,121.326384,13275.0,140.0,,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:01:20.141Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:01:29Z,31.123709,121.344104,12875.0,120.0,-2040.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:01:31.509Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:01:32Z,31.121704,121.349218,12775.0,120.0,-2040.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:01:33.577Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:01:05Z,31.145599,121.310335,13625.0,140.0,-1340.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:01:06.983Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
781463,2021-03-20T12:01:38Z,31.118914,121.357727,12575.0,110.0,-2360.0,False,CES7174,B-300Q,terrestrial,MU7174,2021-03-20T12:01:40.001Z,330.0,,A333,Airbus A330-343E,MU,China Eastern Airlines,+0530,VIDP,DEL,,,+0800,ZSPD,PVG,,,2021-03-20T06:59:46Z,,
780BE9,2021-03-20T12:00:53Z,31.199512,121.328363,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:00:55.760Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
78119D,2021-03-20T12:01:06Z,31.189945,121.330154,,167.00209,,True,CES5346,B-8568,terrestrial,MU5346,2021-03-20T12:01:09.093Z,10.0,1047,A321,Airbus A321-211,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,2021-03-20T12:00:00Z,+0800,ZSYT,YNT,2021-03-20T14:00:00Z,2021-03-20T14:00:00Z,,,
780BE9,2021-03-20T12:01:05Z,31.199512,121.328363,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:01:06.986Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
780F9D,2021-03-20T12:01:23Z,31.198891,121.329039,,110.0,,True,DKH1143,B-8540,terrestrial,HO1143,2021-03-20T12:01:26.479Z,0.0,,A321,Airbus A321-231,HO,Juneyao Air,+0800,ZSSS,SHA,2021-03-20T12:05:00Z,,+0800,ZUGY,KWE,2021-03-20T15:10:00Z,,,,
780748,2021-03-20T12:00:30Z,31.179665,121.337292,-50.0,356.85248,,False,CSN3529,B-6532,terrestrial,CZ3529,2021-03-20T12:00:31.702Z,120.0,,A332,Airbus A330-223,CZ,China Southern Airlines,+0800,ZGGG,CAN,2021-03-20T10:00:00Z,,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,,2021-03-20T11:59:37Z,
780748,2021-03-20T12:00:42Z,31.187206,121.336908,-175.0,357.5029,,False,CSN3529,B-6532,terrestrial,CZ3529,2021-03-20T12:00:44.772Z,120.0,3104,A332,Airbus A330-223,CZ,China Southern Airlines,+0800,ZGGG,CAN,2021-03-20T10:00:00Z,,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,,2021-03-20T11:59:37Z,
79A035,2021-03-20T12:02:03Z,31.175949,121.363113,30100.0,260.0,-30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:02:06.247Z,350.0,,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:02:06Z,31.175708,121.361243,30100.0,260.0,30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:02:08.606Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:02:15Z,31.172836,121.340386,30100.0,260.0,0.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:02:17.572Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
79A035,2021-03-20T12:02:12Z,31.173706,121.346027,30100.0,260.0,-30.0,False,CES6433,B-2208,terrestrial,MU6433,2021-03-20T12:02:15.102Z,350.0,0701,A320,Airbus A320-214,MU,China Eastern Airlines,+0800,ZSQD,TAO,2021-03-20T10:55:00Z,2021-03-20T10:55:00Z,+0800,ZSYW,YIW,2021-03-20T13:05:00Z,2021-03-20T13:05:00Z,,,
780BE9,2021-03-20T12:01:44Z,31.199512,121.328363,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:01:46.539Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
780BE9,2021-03-20T12:01:59Z,31.199508,121.328366,-150.0,,,,CDG4668,B-1932,terrestrial,SC4668,2021-03-20T12:02:01.964Z,0.0,2112,B738,Boeing 737-85N,SC,Shandong Airlines,+0800,ZSSS,SHA,2021-03-20T12:10:00Z,,+0800,ZSQD,TAO,2021-03-20T14:00:00Z,,,,
78119D,2021-03-20T12:02:15Z,31.184212,121.330463,,177.24791,,True,CES5346,B-8568,terrestrial,MU5346,2021-03-20T12:02:17.584Z,10.0,1047,A321,Airbus A321-211,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,2021-03-20T12:00:00Z,+0800,ZSYT,YNT,2021-03-20T14:00:00Z,2021-03-20T14:00:00Z,,,
78119D,2021-03-20T12:02:36Z,31.183331,121.330894,,177.24791,,True,CES5346,B-8568,terrestrial,MU5346,2021-03-20T12:02:37.493Z,0.0,1047,A321,Airbus A321-211,MU,China Eastern Airlines,+0800,ZSSS,SHA,2021-03-20T12:00:00Z,2021-03-20T12:00:00Z,+0800,ZSYT,YNT,2021-03-20T14:00:00Z,2021-03-20T14:00:00Z,,,
